"ID","ObjectName","AdmArea","District","ObjectAddress","Coordinates","ConsrtuctionWorkType","MainFunctional","SourceOfFinance","DevelopmentArea","FloorsAmount","ObjectStatus","CadastralNumber","GPZUDocumentNumber","GPZUDocumentDate","GPZUDocumentStatus","Permission","EntryState","EntryAddReason","FunctionalForNG"
"203381","Участок 1.7. 2-й этап строительства. (Административно-деловое здание)","Южный административный округ","Даниловский район","Москва, пр-кт Андропова, вл.  18/9/1","37.660495490097,55.691457007767","новое строительство","Административно-управленческий объект иного типа","внебюджетные источники","2758","14+тех этаж+ 1 подземный","в строительстве","77:05:0002007:6405","РФ-77-4-59-3-14-2020-1191","","действует","More then 1 level","активна","новый объект","Административно-управленческий объект"
"34294","Жилой дом с инженерными сетями и благоустройством территории","Юго-Западный административный округ","Академический район","Москва, ЮЗАО, Академический, Новочеремушкинская ул. вл. 27","37.578303152004,55.680138182494","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1730","13","в строительстве","не определен","RU77101000-043426","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"197542","Многоэтажная жилая застройка с объектами социальной инфраструктуры. Корп. 1.1, Корп. 1.2","Северный административный округ","район Западное Дегунино","Москва, САО, Западное Дегунино, Ижорская ул. вл. 6/6","37.504604241575,55.883054335157","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","2069.8","33","в строительстве","77:09:0002016:4706","РФ-77-4-53-3-40-2020-0807","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"164601","Жилой дом с инженерными сетями и благоустройством территории","Юго-Западный административный округ","Академический район","Москва, ЮЗАО, Академический, Новочеремушкинская ул. вл. 35","37.574117836203,55.677023774128","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","2954.2","18-20-24+1 подземный","в строительстве","не определен","RU77101000-043737","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"197421","Многофункциональный жилой комплекс, корпус 1 в составе жилой застройки с объектами социальной инфраструктуры. Этап 2. Строение 1.2","Северо-Восточный административный округ","Бутырский район","г. Москва, СВАО, Бутырский, Руставели ул. вл. 14/3","37.599511093539,55.812327135043","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","5117.3","1-32+1 подз","в строительстве","77:02:0021005:3258","РФ-77-4-53-3-53-2020-0451","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"146347","Жилой дом с инженерными сетями и благоустройством территории","Зеленоградский административный округ","район Старое Крюково","Москва, ЗелАО, Старое Крюково, Солнечная аллея вл. 936 мкр. 9, корп.936","37.188175959616,55.980043764455","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1999.93","1-12-14","в строительстве","77:77:0100877:10","RU77199000-043757","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"127562","Многоквартирные жилые дома с пристроенным подземным паркингом на участке №77:04:0002003:2609","Юго-Восточный административный округ","Нижегородский район","Москва, ЮВАО, Нижегородский, Рязанский просп. вл. 2","37.741562010788,55.728229837018","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","2862","25","в строительстве","77:04:0002003:2609","RU77-167000-018260","05.02.2016","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"203304","Реконструкция Здания Центра обработки данных (ЦОД) ПАО Сбербанк. Технологический модуль 6","Западный административный округ","Можайский район","г. Москва, территория инновационного центра ""Сколково""","37.335649389651,55.688404683212","новое строительство","Центр информационно-вычислительный","внебюджетные источники","2376","3","в строительстве","","","","","More then 1 level","активна","новый объект","Центр информационно-вычислительный"
"203701","Комплекс офисных зданий ""Останкино бизнес-парк"". Этап 2, Корпус 3","Северо-Восточный административный округ","Бутырский район","Москва, СВАО, Бутырский, Огородный пр., уч. 16/1","37.602517116524,55.815986130474","новое строительство","Офисное здание","внебюджетные источники","1931.7","12","в строительстве","77:02:0021001:4851","","","","More then 1 level","активна","новый объект","Офисное здание"
"198321","Многофункциональная комплексная жилая застройка с подземной автостоянкой, очередь ""2Б"", дошкольная образовательная организация на 330 мест","Юго-Восточный административный округ","район Лефортово","Москва, ул. Золоторожский Вал, вл. 11, з/у 7","37.704029026406,55.750558919852","новое строительство","Дошкольная образовательная организация","внебюджетные источники","1556","3","в строительстве","77:04:0001009:2641","RU77148000-034908","","действует","More then 1 level","активна","новый объект","Дошкольная образовательная организация"
